"sex","age","race","juv_fel_count","decile_score","juv_misd_count","juv_other_count","priors_count","days_b_screening_arrest","c_days_from_compas","c_charge_degree","is_recid","r_charge_degree","v_decile_score","v_score_text","score_text","class"
"2",56,"3",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"2",30,"1",0,1,0,0,2,-83,83,"1",0,"3",2,"2","2",0
"2",31,"1",0,9,0,1,16,-1,1,"1",0,"3",8,"1","1",0
"1",31,"1",0,1,0,0,0,-1,1,"1",0,"3",1,"2","2",0
"2",31,"1",0,8,0,0,11,0,0,"1",0,"3",9,"1","1",0
"2",24,"1",0,9,0,0,4,-1,1,"1",1,"1",9,"1","1",0
"2",57,"1",0,1,0,0,3,0,0,"1",0,"3",1,"2","2",0
"2",24,"3",0,8,0,0,3,-1,1,"2",1,"1",7,"3","1",0
"1",30,"1",0,7,0,0,2,-1,1,"1",0,"3",4,"2","3",0
"2",51,"1",0,8,0,0,26,-1,1,"1",1,"1",6,"3","1",1
"2",30,"6",0,5,0,0,1,-1,1,"1",1,"2",3,"2","3",0
"2",35,"2",0,1,0,0,1,-1,1,"1",0,"3",1,"2","2",0
"2",24,"3",0,4,0,0,1,0,1,"2",1,"2",6,"3","2",0
"2",67,"3",0,1,0,0,2,-4,5,"2",1,"2",1,"2","2",0
"2",53,"3",0,1,0,0,0,-1,2,"2",0,"3",1,"2","2",0
"2",25,"1",0,8,3,1,8,-1,1,"2",1,"2",5,"3","1",0
"1",31,"3",0,4,0,0,1,-1,1,"1",0,"3",2,"2","2",0
"2",21,"1",0,4,0,0,1,-1,1,"2",0,"3",6,"3","2",0
"2",52,"3",0,9,0,0,3,-2,2,"2",0,"3",6,"3","1",0
"2",30,"6",0,1,0,0,0,-1,1,"1",0,"3",2,"2","2",0
"2",22,"3",0,8,2,0,3,-1,1,"1",1,"2",6,"3","1",0
"2",37,"1",2,9,0,0,18,-1,27,"2",0,"3",9,"1","1",0
"1",51,"3",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"2",51,"3",0,1,0,0,0,-1,1,"1",0,"3",1,"2","2",0
"1",39,"3",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"2",30,"6",0,2,0,0,1,-1,1,"1",1,"2",2,"2","2",0
"1",33,"1",0,9,0,0,7,-1,1,"1",1,"2",9,"1","1",0
"2",31,"6",0,2,0,0,2,-1,1,"1",1,"2",4,"2","2",1
"2",50,"1",0,1,0,0,13,0,0,"1",1,"1",1,"2","2",0
"1",44,"3",0,4,0,0,4,-11,11,"1",0,"3",2,"2","2",0
"1",26,"1",0,7,0,0,4,0,0,"1",1,"1",5,"3","3",0
"2",20,"1",0,10,0,1,2,-1,1,"1",0,"3",10,"1","1",0
"1",36,"3",0,1,0,0,3,-2,2,"1",1,"1",1,"2","2",0
"2",48,"1",0,1,0,0,1,-1,1,"2",0,"3",1,"2","2",0
"2",47,"3",0,2,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"2",42,"1",0,1,0,0,2,-41,41,"1",0,"3",1,"2","2",0
"2",29,"1",0,5,0,0,5,-1,1,"1",1,"2",4,"2","3",1
"2",30,"3",1,5,0,0,2,-1,1,"1",0,"3",6,"3","3",0
"1",59,"3",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"1",33,"1",0,2,0,0,0,-1,1,"1",0,"3",2,"2","2",0
"1",25,"1",0,8,0,0,2,-1,1,"1",1,"2",8,"1","1",0
"2",65,"3",0,1,0,0,2,-4,5,"2",0,"3",1,"2","2",0
"2",60,"1",0,3,0,0,12,-1,1,"1",0,"3",1,"2","2",0
"1",28,"1",0,8,0,0,0,0,1,"1",0,"3",6,"3","1",0
"2",62,"3",0,1,0,0,0,0,0,"2",0,"3",1,"2","2",0
"2",24,"1",0,9,0,2,2,-1,1,"2",1,"2",7,"3","1",1
"2",45,"1",0,1,0,0,1,121,128,"1",1,"1",1,"2","2",0
"1",24,"1",0,6,0,0,2,-1,1,"1",1,"2",4,"2","3",1
"2",25,"3",0,5,0,0,2,-1,1,"1",0,"3",6,"3","3",0
"1",25,"1",0,4,0,0,2,-1,1,"2",0,"3",4,"2","2",0
"2",21,"4",1,10,0,0,4,-1,1,"1",1,"1",10,"1","1",0
"2",28,"3",0,2,0,0,1,0,1,"2",1,"2",3,"2","2",0
"2",29,"3",0,3,0,0,0,-1,1,"1",1,"2",2,"2","2",0
"2",26,"1",0,6,0,0,1,-1,1,"1",0,"3",6,"3","3",0
"2",31,"3",0,5,0,0,5,-1,1,"1",1,"2",2,"2","3",0
"2",24,"4",0,3,0,0,1,-60,60,"2",0,"3",2,"2","2",0
"2",20,"1",1,3,0,0,1,-37,37,"1",1,"1",7,"3","2",1
"2",22,"3",0,3,0,4,3,-1,1,"2",0,"3",5,"3","2",0
"2",32,"4",0,3,0,0,1,0,0,"1",0,"3",2,"2","2",0
"2",27,"1",0,10,5,1,27,0,0,"2",1,"2",9,"1","1",1
"1",42,"1",0,2,0,0,2,-1,1,"1",0,"3",1,"2","2",0
"1",35,"1",0,4,0,0,0,-1,1,"2",0,"3",2,"2","2",0
"2",47,"4",0,4,0,0,0,-4,4,"2",0,"3",1,"2","2",0
"2",20,"1",0,3,0,0,0,-1,1,"1",0,"3",5,"3","2",0
"1",35,"1",0,7,0,0,12,-2,2,"1",1,"2",3,"2","3",0
"2",25,"1",0,6,0,0,2,-1,1,"2",0,"3",4,"2","3",0
"2",42,"4",0,2,0,0,0,-2,2,"2",0,"3",1,"2","2",0
"2",35,"4",0,1,0,0,1,0,0,"2",0,"3",2,"2","2",0
"2",72,"3",0,1,0,0,3,-5,5,"1",0,"3",1,"2","2",0
"2",37,"1",0,7,0,0,9,-1,1,"1",1,"2",5,"3","3",0
"2",41,"4",0,2,0,0,9,-1,1,"1",0,"3",1,"2","2",0
"2",52,"4",0,1,0,0,2,-1,1,"1",0,"3",1,"2","2",0
"2",22,"1",0,7,0,0,1,0,1,"1",1,"2",6,"3","3",0
"1",33,"1",0,3,0,0,0,0,0,"1",0,"3",2,"2","2",0
"2",20,"3",0,4,0,1,0,-1,1,"1",0,"3",6,"3","2",0
"1",47,"3",0,1,0,0,0,-28,29,"2",0,"3",1,"2","2",0
"2",21,"4",1,10,0,0,1,-1,1,"1",1,"2",10,"1","1",0
"2",32,"1",0,4,0,0,5,-1,1,"2",0,"3",4,"2","2",0
"2",43,"1",0,1,0,0,2,0,0,"1",0,"3",1,"2","2",0
"2",19,"6",0,9,0,0,0,-1,1,"2",1,"1",9,"1","1",1
"1",49,"4",0,1,0,0,1,33,35,"1",0,"3",1,"2","2",0
"2",26,"1",0,3,0,0,2,0,0,"2",0,"3",3,"2","2",0
"2",46,"3",0,6,0,0,2,-1,1,"1",1,"2",1,"2","3",0
"1",63,"1",0,1,0,0,1,-1,2,"2",0,"3",1,"2","2",0
"2",37,"3",0,2,0,0,0,-1,2,"1",0,"3",1,"2","2",0
"2",51,"3",0,1,0,0,0,0,1,"2",0,"3",1,"2","2",0
"2",33,"3",0,1,0,0,1,-2,2,"1",0,"3",1,"2","2",0
"1",41,"1",0,4,0,0,4,-1,1,"1",0,"3",2,"2","2",0
"2",25,"6",0,2,0,0,1,-1,1,"1",0,"3",3,"2","2",0
"2",23,"1",0,3,0,0,1,-1,1,"1",1,"2",4,"2","2",0
"1",46,"1",0,1,0,0,1,-1,1,"1",0,"3",1,"2","2",0
"2",43,"1",0,1,0,0,0,-1,1,"1",0,"3",1,"2","2",0
"2",70,"4",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"2",42,"3",0,4,0,0,2,-43,43,"2",0,"3",5,"3","2",0
"2",43,"1",0,5,0,0,1,-1,1,"2",1,"2",4,"2","3",1
"2",32,"1",0,6,0,0,3,-1,1,"1",0,"3",3,"2","3",0
"2",36,"3",0,3,0,0,4,-1,1,"1",0,"3",3,"2","2",0
"2",27,"5",0,3,0,0,1,-1,1,"2",0,"3",6,"3","2",0
"2",50,"3",0,1,0,0,5,-1,1,"1",1,"2",1,"2","2",0
"2",34,"3",1,10,0,0,28,-86,86,"1",0,"3",5,"3","1",0
"2",21,"1",0,4,0,0,0,-3,3,"1",0,"3",7,"3","2",0
"2",24,"4",1,10,0,0,6,-1,1,"1",1,"2",9,"1","1",0
"2",57,"1",0,1,0,0,0,0,0,"2",0,"3",1,"2","2",0
"2",32,"1",0,4,0,0,4,-1,1,"1",1,"2",2,"2","2",0
"2",56,"3",0,1,0,0,1,-1,1,"2",0,"3",1,"2","2",0
"2",22,"1",1,9,1,0,5,-1,1,"1",0,"3",6,"3","1",0
"2",45,"1",0,3,0,0,15,-1,1,"1",1,"2",1,"2","2",0
"2",28,"1",0,2,0,0,3,0,0,"2",0,"3",2,"2","2",0
"1",58,"3",0,1,0,0,0,-1,2,"2",0,"3",1,"2","2",0
"1",30,"3",0,5,0,0,3,0,0,"1",0,"3",2,"2","3",0
"2",23,"6",0,3,0,0,0,-1,1,"2",1,"2",4,"2","2",0
"2",26,"1",0,2,0,0,0,-1,1,"2",1,"2",2,"2","2",0
"2",23,"1",0,2,0,0,1,-2,2,"1",0,"3",4,"2","2",0
"2",46,"1",0,1,0,0,3,-1,1,"1",1,"2",1,"2","2",0
"2",22,"1",0,5,1,2,1,-1,1,"1",0,"3",7,"3","3",0
"1",24,"1",0,7,1,0,3,-1,1,"1",0,"3",4,"2","3",0
"2",49,"3",0,3,0,0,6,-2,2,"1",0,"3",2,"2","2",0
"2",30,"3",0,5,0,0,7,-1,1,"1",0,"3",3,"2","3",0
"2",22,"1",0,5,1,0,2,-1,1,"1",0,"3",7,"3","3",0
"2",42,"1",0,1,0,0,0,0,0,"1",0,"3",1,"2","2",0
"2",43,"3",0,5,0,0,5,-1,1,"1",0,"3",6,"3","3",0
"2",29,"1",0,8,0,0,0,-1,1,"1",0,"3",6,"3","1",0
"2",24,"1",0,3,0,0,3,-1,1,"1",1,"1",4,"2","2",0
"1",45,"3",0,7,0,0,4,0,0,"1",0,"3",6,"3","3",0
"2",42,"6",0,2,0,0,1,-2,39,"1",0,"3",2,"2","2",0
"2",23,"1",0,7,0,0,2,-1,1,"2",1,"2",7,"3","3",0
"2",33,"6",0,1,0,0,0,-1,1,"1",0,"3",1,"2","2",0
"2",55,"3",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"2",25,"1",2,10,3,0,8,-230,46,"1",0,"3",9,"1","1",0
"2",19,"1",0,4,0,0,0,-1,1,"1",0,"3",7,"3","2",0
"1",61,"3",0,6,0,0,15,-10,10,"1",0,"3",2,"2","3",0
"2",28,"1",0,8,0,1,7,104,9,"1",1,"1",7,"3","1",0
"2",26,"3",1,9,0,0,9,-84,84,"1",1,"2",9,"1","1",0
"2",25,"3",0,2,0,0,0,-1,1,"2",0,"3",3,"2","2",0
"2",47,"3",0,6,0,0,0,-1,1,"1",0,"3",3,"2","3",0
"1",38,"1",0,1,0,0,0,-1,1,"1",0,"3",1,"2","2",0
"2",23,"1",0,7,0,0,4,320,330,"1",0,"3",9,"1","3",0
"2",29,"1",0,1,0,0,0,0,0,"2",0,"3",2,"2","2",0
"2",58,"1",0,1,0,0,3,-2,3,"1",0,"3",1,"2","2",0
"2",24,"3",0,8,0,0,3,-1,1,"1",1,"2",8,"1","1",0
"2",26,"1",0,7,0,0,1,-1,1,"1",0,"3",6,"3","3",0
"2",23,"1",0,4,0,0,0,-1,1,"2",1,"2",5,"3","2",0
"2",23,"3",0,6,0,0,0,-1,0,"2",0,"3",4,"2","3",0
"2",22,"1",0,7,0,1,0,0,0,"1",1,"2",8,"1","3",0
"2",52,"4",0,1,0,0,0,-1,1,"2",1,"2",1,"2","2",0
"2",51,"1",0,4,0,0,0,-1,1,"2",1,"2",1,"2","2",0
"2",36,"1",0,3,0,0,4,-1,1,"1",1,"2",4,"2","2",1
"2",50,"3",0,2,0,0,0,0,0,"2",1,"2",1,"2","2",0
"2",27,"6",0,5,0,0,0,-1,1,"2",0,"3",3,"2","3",0
"2",23,"1",0,3,0,0,0,0,1,"1",0,"3",5,"3","2",0
"2",33,"2",0,8,0,0,2,14,132,"2",0,"3",8,"1","1",0
"2",23,"1",0,3,0,0,1,-27,27,"2",1,"2",4,"2","2",0
"2",39,"1",0,8,0,0,11,-1,1,"2",0,"3",4,"2","1",0
"1",46,"3",0,1,0,0,1,-30,30,"1",0,"3",1,"2","2",0
"2",55,"3",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"2",23,"1",0,8,0,2,4,-1,1,"1",1,"2",5,"3","1",0
"2",23,"1",0,7,0,0,2,-1,1,"2",0,"3",6,"3","3",0
"2",45,"3",0,1,0,0,3,-23,24,"1",1,"2",1,"2","2",0
"1",57,"3",0,1,0,0,1,-51,52,"1",0,"3",1,"2","2",0
"2",26,"6",0,5,0,0,0,-1,1,"1",1,"2",4,"2","3",0
"1",37,"1",0,2,0,0,0,0,0,"2",0,"3",1,"2","2",0
"2",37,"6",0,1,0,0,1,-1,1,"1",0,"3",1,"2","2",0
"2",22,"3",0,3,0,0,0,-1,1,"2",0,"3",4,"2","2",0
"2",27,"3",0,4,0,0,2,-1,1,"1",1,"2",3,"2","2",0
"2",36,"6",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"2",44,"3",0,6,0,0,6,-1,1,"1",1,"2",2,"2","3",0
"2",24,"3",0,4,0,0,0,0,0,"1",0,"3",5,"3","2",0
"1",30,"1",0,7,0,0,8,-1,1,"1",1,"1",5,"3","3",0
"2",58,"3",0,2,0,0,8,-1,1,"2",0,"3",1,"2","2",0
"2",22,"1",0,6,0,0,2,-64,64,"1",0,"3",7,"3","3",0
"2",45,"6",0,1,0,0,1,-1,1,"2",0,"3",1,"2","2",0
"2",41,"3",0,4,0,0,11,-1,1,"1",1,"1",2,"2","2",0
"2",53,"3",0,1,0,0,3,-35,35,"1",0,"3",1,"2","2",0
"2",25,"4",0,1,0,0,0,0,0,"1",0,"3",2,"2","2",0
"1",42,"1",0,5,0,0,1,-1,1,"1",0,"3",4,"2","3",0
"2",25,"3",0,3,0,1,0,-1,1,"2",0,"3",4,"2","2",0
"1",28,"3",0,4,0,0,0,-1,1,"1",1,"2",3,"2","2",0
"2",28,"4",0,3,0,0,0,-1,1,"2",0,"3",4,"2","2",0
"1",26,"1",0,4,0,0,0,-1,1,"1",0,"3",3,"2","2",0
"2",29,"1",0,9,4,1,15,227,1,"1",1,"2",7,"3","1",1
"2",64,"3",0,1,0,0,0,0,1,"2",0,"3",1,"2","2",0
"2",32,"1",0,8,0,0,2,0,1,"1",1,"2",6,"3","1",1
"2",33,"3",0,6,0,0,5,0,1,"1",1,"2",6,"3","3",0
"2",19,"1",0,8,0,0,0,-1,1,"1",0,"3",7,"3","1",0
"2",31,"1",0,2,0,0,1,-6,6,"2",0,"3",2,"2","2",0
"2",32,"3",0,7,1,0,17,-1,0,"1",1,"2",4,"2","3",0
"2",33,"3",0,9,0,0,9,-1,1,"1",1,"2",5,"3","1",0
"2",62,"3",0,2,0,0,6,-1,1,"1",0,"3",1,"2","2",0
"2",29,"1",0,1,0,0,1,-52,52,"1",0,"3",2,"2","2",0
"2",32,"4",0,5,0,0,6,-1,1,"2",1,"2",2,"2","3",1
"2",35,"1",0,5,0,0,4,-1,1,"2",0,"3",6,"3","3",0
"2",54,"3",0,2,0,0,4,-1,1,"2",0,"3",1,"2","2",0
"2",31,"3",0,8,0,0,9,0,0,"1",1,"1",4,"2","1",1
"2",23,"1",0,8,0,0,4,-1,1,"1",0,"3",5,"3","1",0
"2",24,"6",0,10,1,9,2,-1,1,"1",1,"2",9,"1","1",0
"2",41,"1",0,1,0,0,1,-291,291,"1",0,"3",1,"2","2",0
"2",21,"3",0,8,0,0,0,0,1,"1",1,"1",10,"1","1",1
"2",41,"6",0,9,0,0,31,0,1,"1",1,"2",5,"3","1",0
"2",28,"3",0,3,0,0,0,-1,1,"1",1,"1",2,"2","2",1
"2",38,"1",0,9,0,0,19,-4,4,"1",1,"1",5,"3","1",1
"1",42,"1",0,1,0,0,1,-1,1,"1",0,"3",1,"2","2",0
"2",36,"6",0,1,0,0,0,0,1,"2",0,"3",1,"2","2",0
"1",32,"1",0,7,0,0,11,0,0,"1",0,"3",4,"2","3",0
"2",40,"6",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"1",26,"3",0,9,0,0,2,22,41,"1",1,"2",4,"2","1",0
"2",37,"1",0,3,0,0,4,-1,1,"1",0,"3",2,"2","2",0
"2",37,"1",0,9,0,0,20,0,0,"1",1,"2",5,"3","1",0
"2",45,"3",0,6,0,0,0,-1,1,"1",1,"2",4,"2","3",0
"2",52,"6",0,7,0,0,13,-1,1,"1",1,"2",6,"3","3",0
"2",20,"1",0,3,0,0,1,-24,24,"1",0,"3",5,"3","2",0
"2",26,"1",1,10,2,0,9,-1,1,"1",1,"2",6,"3","1",0
"2",24,"1",1,9,1,0,8,-54,54,"1",1,"1",10,"1","1",1
"1",45,"3",0,3,0,0,1,-1,1,"1",1,"2",1,"2","2",0
"2",23,"3",0,8,0,0,5,-105,105,"1",1,"2",5,"3","1",0
"2",22,"1",0,9,0,0,1,-1,1,"1",0,"3",7,"3","1",0
"2",33,"3",0,1,0,0,0,-1,1,"1",1,"1",1,"2","2",0
"2",34,"3",0,3,0,0,1,0,0,"1",1,"2",3,"2","2",0
"1",30,"3",0,7,0,0,3,0,1,"1",1,"1",4,"2","3",0
"2",34,"3",0,3,0,0,5,-59,59,"1",0,"3",5,"3","2",0
"1",46,"1",0,7,0,0,0,-1,1,"1",0,"3",9,"1","3",0
"1",26,"1",0,6,0,0,6,-1,1,"1",1,"2",5,"3","3",1
"2",24,"6",0,2,0,0,0,-1,1,"2",0,"3",3,"2","2",0
"2",45,"3",0,1,0,0,1,0,0,"2",0,"3",1,"2","2",0
"2",37,"3",0,1,0,0,0,0,1,"1",0,"3",1,"2","2",0
"2",26,"1",0,3,0,0,3,-1,1,"1",0,"3",3,"2","2",0
"2",28,"3",0,2,0,0,0,-1,1,"1",0,"3",2,"2","2",0
"2",36,"4",1,10,5,0,29,-1,1,"1",0,"3",3,"2","1",0
"2",43,"1",0,1,0,0,1,-1,1,"2",0,"3",1,"2","2",0
"2",50,"3",0,2,0,0,1,-1,1,"2",0,"3",2,"2","2",0
"2",31,"1",0,4,0,0,0,0,1,"2",0,"3",3,"2","2",0
"2",40,"6",0,1,0,0,1,0,1,"2",0,"3",1,"2","2",0
"2",57,"3",0,1,0,0,0,-3,3,"2",0,"3",1,"2","2",0
"1",26,"1",0,9,0,0,15,-31,31,"1",1,"1",7,"3","1",0
"2",27,"3",0,1,0,0,0,-1,1,"2",0,"3",2,"2","2",0
"1",53,"3",0,-1,0,0,0,0,1,"2",0,"3",-1,"4","4",0
"2",41,"3",0,1,0,0,0,-1,1,"1",0,"3",1,"2","2",0
"1",35,"3",0,4,0,0,1,-1,1,"2",0,"3",2,"2","2",0
"2",28,"1",0,5,0,0,9,-1,1,"2",0,"3",4,"2","3",0
"1",56,"3",0,8,0,0,1,-1,1,"1",0,"3",3,"2","1",0
"2",28,"1",0,6,0,0,2,-1,1,"1",1,"2",4,"2","3",0
"2",34,"3",0,7,0,0,8,-104,104,"1",0,"3",4,"2","3",0
"1",49,"1",0,1,0,0,0,0,0,"1",0,"3",2,"2","2",0
"1",35,"4",0,2,0,0,0,-1,1,"2",0,"3",1,"2","2",0
