,chek_acc,month_duration,credit_history,purpose,Credit_amo,saving_amo,present_employmment,instalrate,p_status,guatan,present_resident,property,age,installment,Housing,existing_cards,job,no_people,telephn,foreign_worker,target
853,1,2,2,1,2,1,4,3,3,1,3,4,2,3,3,2,2,2,1,1,1
614,4,2,4,4,2,1,4,3,2,1,1,1,1,3,2,1,3,1,1,1,1
547,4,3,3,5,2,1,4,2,3,1,1,3,2,1,2,1,3,2,1,1,2
233,2,2,3,5,1,1,3,3,4,3,1,1,1,3,2,1,2,1,1,1,2
502,3,1,3,5,1,2,5,1,1,1,3,1,2,3,2,1,3,1,1,1,2
438,1,4,5,7,3,1,1,3,3,2,3,3,2,3,2,2,1,1,1,1,2
566,1,1,3,1,2,1,4,1,1,1,2,3,2,3,2,1,3,1,1,1,1
804,2,1,3,1,4,5,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2
65,4,4,3,7,4,5,5,3,3,1,3,2,2,3,2,4,3,2,2,1,2
527,4,1,5,5,2,1,4,1,3,1,1,1,2,3,2,2,2,2,1,1,2
163,2,1,3,1,4,1,1,1,3,1,3,4,2,1,3,1,4,1,2,1,2
263,4,1,5,8,3,1,5,1,2,1,3,4,2,1,3,3,2,1,1,1,2
847,4,3,3,1,1,1,2,3,4,1,1,1,2,3,2,1,3,1,1,1,2
399,4,3,5,5,2,4,3,3,2,1,1,1,2,3,2,2,2,1,1,1,2
235,1,3,3,5,2,1,1,3,3,1,1,3,2,2,2,1,4,2,1,1,1
175,4,4,2,2,4,5,1,3,2,1,1,1,2,1,2,1,4,1,2,1,1
993,1,4,3,4,3,1,1,3,3,1,2,2,2,3,2,1,4,1,2,1,2
555,2,1,3,5,1,1,2,1,3,1,1,3,1,2,2,1,3,1,1,1,1
71,4,1,5,5,1,5,5,3,3,1,1,2,2,3,1,2,2,1,2,1,2
996,1,4,3,2,3,1,3,3,1,1,3,2,2,3,2,1,4,1,2,1,2
89,1,1,1,7,1,1,4,3,3,1,2,1,2,3,2,2,3,1,1,1,1
117,1,1,5,4,2,5,2,1,2,2,2,1,2,3,1,2,3,1,1,2,2
321,1,3,3,5,2,1,2,3,1,1,2,2,2,3,2,1,3,1,1,1,1
619,4,1,3,1,1,1,3,3,1,1,1,1,2,3,2,1,2,1,1,1,2
952,2,3,3,2,4,3,2,2,2,1,3,3,2,3,1,1,3,1,1,1,1
536,1,1,3,1,2,5,1,3,2,1,2,2,2,3,2,1,4,1,2,1,2
61,2,2,5,5,2,5,5,3,3,3,3,1,2,3,2,2,3,1,2,1,2
700,4,1,3,4,1,3,3,3,2,1,3,3,2,3,1,1,2,1,1,1,1
186,2,1,2,2,4,1,5,1,2,1,3,4,2,1,3,1,4,2,2,1,1
869,1,1,3,4,1,1,5,3,2,1,3,2,1,3,1,1,3,1,1,1,2
401,2,2,5,10,2,5,3,3,4,1,3,1,2,1,2,2,3,1,1,1,2
232,4,1,3,5,2,2,4,2,3,1,1,4,2,3,2,1,3,1,1,1,2
649,1,1,3,8,1,1,3,3,3,1,3,3,2,3,1,1,2,2,1,1,1
72,1,1,5,3,1,1,5,2,3,1,3,4,2,1,3,2,4,2,2,1,2
924,1,3,2,4,4,1,2,1,1,1,1,2,2,1,2,1,3,1,2,1,1
270,4,2,3,1,3,5,4,3,3,1,2,2,2,3,2,1,3,1,1,2,2
111,3,2,3,8,1,1,2,3,2,1,3,2,1,3,1,1,3,1,2,1,2
745,1,2,5,10,2,1,2,2,3,1,1,2,2,1,2,2,2,1,1,1,2
914,1,3,2,10,3,1,3,3,3,1,1,2,2,3,1,1,3,1,2,1,1
476,4,4,3,2,3,3,3,3,3,1,3,3,1,3,2,1,3,1,1,1,2
226,2,4,3,5,4,4,4,1,3,2,1,4,2,1,2,2,3,1,2,1,1
329,2,1,3,5,1,1,5,3,3,1,3,3,2,3,2,1,3,2,1,1,2
549,4,4,5,2,4,5,4,1,3,1,1,4,2,3,3,2,3,1,2,1,2
699,3,2,3,8,2,1,5,3,3,1,3,3,2,3,1,1,4,1,2,1,2
195,2,1,5,8,2,1,5,1,2,1,2,3,2,3,2,2,4,1,2,1,1
336,2,2,3,5,2,1,2,1,2,3,3,2,1,3,2,1,2,1,1,1,2
768,2,1,5,4,3,1,5,1,3,1,3,3,2,3,1,3,3,1,2,1,2
763,4,3,5,1,4,5,5,3,3,1,3,4,2,3,3,1,4,1,2,1,1
28,2,1,3,5,3,1,3,2,3,3,1,1,2,3,2,1,3,1,1,1,2
583,2,4,3,7,3,1,2,3,3,1,1,4,2,3,1,1,2,1,1,1,1
453,4,3,3,2,3,1,5,3,3,1,3,3,2,3,2,1,4,1,2,1,2
480,2,1,5,5,3,1,3,1,2,1,1,1,1,3,2,1,2,1,1,1,2
137,2,1,3,5,1,3,3,3,3,1,2,1,2,3,2,1,2,1,1,1,1
542,1,4,3,4,4,5,5,3,3,1,3,2,2,3,2,1,3,1,1,1,1
747,1,1,3,1,1,1,2,2,2,1,1,1,2,3,2,1,2,1,1,1,1
463,2,1,3,9,1,5,5,3,3,1,3,2,2,3,2,2,3,1,1,1,2
393,1,1,5,5,2,1,4,1,2,1,3,3,2,3,2,1,3,1,1,1,2
382,4,3,3,1,1,5,4,3,2,1,3,2,1,3,1,1,3,1,1,1,2
982,3,3,3,1,3,2,3,1,2,1,1,3,2,1,2,1,4,1,2,1,2
979,2,2,2,1,1,2,3,1,4,1,1,2,1,3,1,1,3,1,1,1,1
656,2,1,3,1,1,1,5,3,3,1,3,3,2,1,2,1,2,2,1,1,1
918,1,3,3,4,3,2,1,1,1,1,1,2,2,3,2,1,3,1,1,1,1
635,4,1,3,8,2,1,5,3,3,1,3,2,2,1,2,3,3,2,2,1,2
507,2,2,2,1,4,2,1,1,3,1,1,2,2,3,2,1,4,2,2,1,1
328,3,4,3,5,4,1,5,3,3,1,1,3,2,3,2,1,3,1,1,1,2
12,2,1,3,5,2,1,3,1,2,1,1,3,1,3,2,1,3,1,2,1,2
687,2,4,4,1,3,2,5,3,3,1,2,4,2,3,3,1,3,1,1,1,2
908,4,2,4,2,3,1,2,1,2,1,1,2,2,3,2,2,2,1,1,1,2
206,4,1,5,4,2,1,5,3,3,1,3,1,2,3,2,3,3,1,2,1,2
103,2,1,5,4,2,1,4,3,3,1,2,3,2,3,1,1,3,1,2,1,2
468,4,4,4,10,3,1,3,1,2,1,1,3,2,3,2,2,3,1,2,1,2
309,2,1,3,1,1,1,3,3,4,1,3,1,1,3,1,1,2,1,1,1,2
500,1,3,3,1,3,1,2,3,2,1,1,2,2,3,2,1,3,1,1,1,1
222,4,1,3,5,1,1,3,3,3,1,1,1,2,1,2,2,3,1,1,1,2
153,2,3,5,2,4,4,5,1,2,1,3,4,2,3,1,1,3,1,1,1,2
180,4,4,4,10,4,1,2,1,1,1,1,3,2,3,2,2,3,1,1,1,1
934,1,1,3,5,2,1,3,3,2,1,1,3,1,1,2,1,3,1,1,1,2
182,1,3,2,1,2,5,3,3,3,1,1,2,2,3,2,2,2,2,1,1,1
875,2,1,5,1,1,4,3,3,2,1,3,3,2,3,2,2,3,1,1,1,2
331,4,2,5,8,2,2,3,3,2,1,1,1,2,3,2,2,3,1,1,1,1
469,4,3,4,2,4,1,4,2,3,1,2,3,2,3,2,2,2,1,2,1,2
141,2,4,3,5,4,1,2,3,2,1,1,4,2,3,2,1,4,1,2,1,2
653,2,4,4,1,4,2,5,1,3,1,3,3,2,3,2,4,4,1,2,1,1
770,1,3,3,2,3,5,5,1,2,1,3,1,2,3,1,1,3,1,1,1,2
562,3,1,4,5,1,1,2,1,2,1,1,2,2,1,2,1,3,1,1,1,2
794,4,3,3,4,3,3,5,3,3,1,2,4,2,3,1,1,3,1,2,1,2
702,3,3,3,5,2,2,5,3,2,1,1,4,2,3,3,1,3,1,2,1,2
316,1,1,3,4,1,1,3,1,3,3,2,2,2,3,2,1,2,2,1,1,2
415,4,4,5,2,4,1,5,1,3,1,1,2,2,3,2,2,3,2,2,1,2
210,4,1,5,5,3,5,3,1,3,1,1,1,2,3,2,2,3,2,1,1,2
519,4,1,5,5,1,5,5,3,3,1,3,4,2,3,3,2,3,1,1,1,2
142,1,4,3,5,3,1,3,2,3,1,1,3,2,3,2,1,4,1,1,1,2
2,4,1,5,8,2,1,4,1,3,1,2,1,2,3,2,1,2,2,1,1,2
362,3,1,4,1,2,1,3,1,2,1,1,3,2,2,2,2,3,1,2,1,2
4,1,3,4,1,4,1,3,2,3,1,3,4,2,3,3,2,3,2,1,1,1
44,1,4,5,2,4,1,5,3,2,1,3,4,2,2,3,2,2,1,1,1,1
944,1,2,3,4,2,1,2,3,2,3,1,2,2,3,1,1,3,1,1,1,2
281,4,1,3,4,2,1,3,3,3,1,1,1,2,3,2,1,3,1,1,1,2
675,4,4,5,5,4,1,4,3,2,1,3,3,2,3,1,1,4,1,2,1,2
202,4,4,4,10,4,1,4,2,3,1,3,3,2,3,2,2,3,1,1,1,2
302,3,3,5,1,1,5,4,3,3,1,1,1,2,1,2,2,2,2,1,1,1
726,4,2,5,5,1,3,3,1,4,1,1,2,2,3,2,2,2,1,1,1,2
365,4,1,3,10,2,1,4,1,3,1,3,3,2,3,2,1,3,1,2,1,2
358,4,1,3,5,1,1,3,3,4,1,1,1,2,3,2,1,3,1,1,1,2
822,1,4,3,4,3,1,5,1,3,1,1,2,2,1,2,1,3,2,1,1,1
516,1,1,5,1,1,1,2,1,3,1,3,1,2,3,2,1,2,2,1,2,2
371,4,2,5,5,4,1,5,2,3,1,3,3,2,3,2,2,3,1,2,1,2
593,2,3,3,1,3,1,3,2,2,1,3,2,1,3,1,1,2,1,2,1,1
585,1,2,3,4,2,1,3,1,2,1,3,1,1,1,1,1,3,1,1,1,1
378,2,4,3,1,4,1,5,3,3,1,1,4,2,3,3,1,4,1,2,1,1
231,4,1,3,1,3,3,5,1,3,1,3,4,2,3,3,1,2,1,1,1,2
237,2,3,3,10,3,2,5,3,1,1,1,3,2,1,1,2,2,1,1,1,1
937,2,1,3,5,2,1,2,3,4,1,2,3,2,3,1,1,4,1,2,1,2
171,4,1,3,4,1,1,3,3,2,1,1,1,2,3,2,1,3,1,2,1,2
273,2,4,3,5,3,1,4,3,3,1,3,1,2,3,2,2,3,1,1,1,1
677,2,4,3,5,4,2,3,1,4,1,1,3,1,3,2,1,3,1,1,1,1
551,4,1,2,5,2,3,5,1,3,1,3,2,2,1,2,1,2,2,1,1,2
912,2,4,3,5,3,5,5,1,2,1,3,3,1,3,2,1,3,1,1,1,2
194,2,4,3,5,3,2,3,3,3,3,3,2,1,3,1,1,3,1,1,1,1
714,2,4,3,1,4,1,4,3,3,1,1,4,2,3,2,1,4,1,2,1,1
102,4,1,4,5,1,1,3,2,2,1,1,1,1,3,2,1,3,1,1,1,2
767,4,1,3,2,3,5,2,1,2,1,3,1,2,3,1,1,3,1,1,1,2
791,4,3,3,2,4,5,5,2,3,1,3,3,2,3,2,1,4,2,2,1,2
209,4,1,3,2,2,4,4,2,3,1,1,2,2,3,2,1,3,1,1,2,2
925,1,1,2,1,1,1,2,3,3,1,1,3,2,1,2,2,3,1,2,1,1
664,3,1,5,8,1,1,3,1,2,1,3,2,2,3,2,1,2,1,1,1,2
162,4,2,3,6,1,3,4,3,3,1,2,2,2,3,2,2,3,1,2,1,2
897,4,1,5,4,2,4,4,2,2,1,1,2,2,3,2,1,3,1,1,2,2
491,2,4,1,10,4,1,5,1,2,1,3,4,2,3,3,2,4,1,2,1,1
946,1,3,2,4,3,3,2,3,3,1,3,4,2,3,3,1,3,2,2,1,1
567,4,3,5,5,3,4,5,1,3,1,1,3,2,3,2,1,3,1,1,1,2
87,2,4,3,8,4,2,3,1,3,1,3,4,2,3,3,1,3,2,2,1,1
789,1,4,5,8,4,1,3,3,3,1,2,4,2,1,2,1,3,1,2,1,1
721,2,1,2,8,1,4,2,3,2,1,1,2,1,1,1,1,3,2,1,1,1
190,4,3,3,10,4,4,3,1,3,1,2,2,2,3,2,3,4,1,2,1,1
178,4,1,3,5,2,1,4,3,3,1,1,3,2,3,1,2,4,2,2,1,2
392,1,4,3,1,3,1,4,1,3,1,3,4,2,1,3,1,4,2,2,1,2
985,1,2,5,4,2,1,3,3,2,1,2,2,1,3,1,2,3,1,1,1,2
568,2,4,3,5,4,5,4,3,3,1,1,3,2,3,2,2,3,2,2,1,2
905,1,1,3,5,1,1,3,1,3,1,1,1,1,3,1,1,4,2,2,1,2
689,1,1,3,1,3,4,3,1,3,1,2,2,2,3,2,1,3,2,1,1,2
511,4,4,3,2,4,1,3,1,3,1,1,4,2,3,3,1,4,1,2,1,2
608,4,2,3,5,2,1,2,3,3,1,1,1,2,3,2,1,3,1,1,1,2
439,3,1,2,10,1,1,2,3,2,1,1,1,2,3,2,1,1,1,1,1,1
471,1,1,3,8,1,1,2,3,2,1,3,2,1,3,2,1,3,1,1,1,1
398,2,1,3,1,1,1,5,1,1,1,1,1,2,3,1,2,3,1,1,1,1
785,2,2,3,10,2,4,3,3,3,1,1,2,2,3,2,1,2,1,2,1,2
998,1,4,3,5,2,1,3,3,3,1,3,4,1,3,3,1,3,1,2,1,1
882,2,4,5,1,2,5,5,3,3,1,3,1,2,3,2,2,3,1,1,1,2
730,2,3,4,5,4,1,2,1,3,1,1,3,2,3,2,1,3,1,1,1,2
43,1,4,5,2,4,2,4,1,4,1,3,3,1,3,1,2,3,1,1,1,2
261,1,3,3,5,2,1,5,3,2,1,3,3,2,3,2,1,3,1,1,1,2
856,4,1,3,9,1,5,4,3,2,1,2,2,2,3,2,1,3,1,2,1,2
429,1,2,5,7,1,1,1,1,2,1,3,4,2,3,3,3,1,2,1,1,1
228,4,1,3,5,2,1,4,3,3,1,1,3,1,3,2,1,3,1,1,1,1
5,4,4,3,8,4,5,3,1,3,1,3,4,2,3,3,1,2,2,2,1,2
970,2,2,3,7,2,2,3,3,3,3,1,1,1,3,2,1,3,1,1,1,2
802,1,3,5,4,4,1,5,1,2,1,3,2,1,3,2,2,3,1,1,1,2
318,4,1,5,8,1,1,3,3,3,1,1,3,2,3,2,2,3,1,1,1,2
863,4,4,5,4,4,4,2,3,3,1,1,1,2,2,2,2,2,2,2,1,2
312,3,3,3,4,3,1,2,1,2,1,3,3,2,3,2,1,3,1,1,1,2
75,1,1,5,2,2,1,5,3,3,1,3,4,2,3,3,2,4,1,1,1,2
173,2,1,3,5,2,1,3,3,3,3,1,1,2,3,2,1,3,1,1,2,2
824,4,2,5,4,3,1,2,2,1,1,1,3,2,3,2,2,4,1,2,1,2
51,2,4,4,2,4,1,5,1,3,1,1,3,2,3,2,2,4,1,2,1,2
887,2,4,3,10,4,1,3,1,3,1,1,3,1,3,2,1,3,1,2,1,1
902,4,4,5,2,4,5,5,1,3,1,3,4,2,3,3,2,3,1,1,1,2
220,2,1,3,5,1,1,2,3,4,3,1,1,2,1,2,1,2,1,1,1,2
508,4,3,3,5,2,1,3,3,4,1,1,2,2,3,2,1,3,1,1,1,2
572,4,3,3,2,4,5,1,1,2,1,3,2,2,3,1,1,4,1,2,1,2
387,2,2,5,4,4,1,1,3,3,1,3,2,2,2,2,2,4,1,2,1,2
93,3,3,5,4,3,5,5,3,3,2,3,4,1,3,1,2,3,1,1,1,2
148,1,4,5,4,4,1,3,2,3,3,1,2,2,3,2,2,3,1,1,1,2
482,1,4,3,4,3,4,5,3,2,1,3,2,2,3,1,2,3,1,2,1,2
835,1,1,1,1,1,1,3,3,3,1,3,3,2,1,2,2,3,1,1,1,1
249,4,2,3,5,1,1,1,2,2,2,3,1,1,3,1,1,3,1,1,1,1
340,2,3,5,8,4,1,2,1,2,1,3,4,1,3,3,2,3,1,2,1,2
616,2,4,4,5,4,5,3,1,3,1,1,4,2,3,3,1,4,1,1,1,2
200,4,1,5,8,1,3,5,3,3,1,1,3,2,3,2,2,3,1,2,1,2
91,1,1,5,2,2,1,5,3,3,1,2,1,2,3,2,1,3,1,1,1,2
540,2,1,3,5,2,1,2,1,4,1,1,1,1,3,1,1,3,1,1,1,1
